passport,name,surname,flight_number,flight_date,airplane_license,airplane_model,airline_name,departure_airport,dep_city,dep_country,arrival_airport,arr_city,arr_country,baggage_belt,seat_number,flight_crew_license,flight_crew_role,flight_status_date,flight_status_hour,flight_status
QT5620223,Jacob,Carlson,AA696,2025-07-03,APL1009,Model-4,AA,HND,Tokyo,Japan,LHR,London,UK,8,5C,FWL3110,Captain,2025-07-03,15:32:49,departed
RP8177548,Charles,Jacobson,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,11C,FWL5593,First Officer,2025-07-28,08:39:57,delayed
NL0487387,Jennifer,Henderson,AA126,2025-06-24,APL1003,Model-3,AA,CDG,Paris,France,HND,Tokyo,Japan,5,6B,FWL7512,First Officer,2025-06-24,02:39:58,on time
RP8177548,Charles,Jacobson,BA204,2025-07-07,APL1002,Model-2,BA,LHR,London,UK,JFK,New York,USA,7,14F,FWL7098,Flight Attendant,2025-07-07,05:27:30,arrived
KC9995131,John,Wilson,DL382,2025-07-19,APL1006,Model-1,DL,CDG,Paris,France,MAD,Madrid,Spain,1,17C,FWL7484,First Officer,2025-07-19,16:30:11,deviated
FG9883187,Tracy,Mckinney,BA270,2025-07-05,APL1006,Model-1,BA,SIN,Singapore,Singapore,DXB,Dubai,UAE,7,26B,FWL2661,First Officer,2025-07-05,09:56:15,canceled
VP1138788,Kathryn,Petersen,BA900,2025-08-15,APL1005,Model-0,BA,SIN,Singapore,Singapore,AMS,Amsterdam,Netherlands,9,23E,FWL6269,First Officer,2025-08-15,15:56:19,delayed
XV5061132,John,Sullivan,DL342,2025-08-08,APL1004,Model-4,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,6,25E,FWL8417,First Officer,2025-08-08,18:18:12,deviated
PN9991853,Jeffrey,Johnson,BA329,2025-08-03,APL1005,Model-0,BA,FRA,Frankfurt,Germany,DXB,Dubai,UAE,10,6B,FWL7108,Captain,2025-08-03,18:11:29,delayed
XQ3457027,Lori,Duarte,UA188,2025-07-07,APL1008,Model-3,UA,SIN,Singapore,Singapore,JFK,New York,USA,5,16A,FWL4974,First Officer,2025-07-07,06:55:11,arrived
BA8967482,Emily,Martin,UA188,2025-07-07,APL1008,Model-3,UA,SIN,Singapore,Singapore,JFK,New York,USA,5,24F,FWL4974,First Officer,2025-07-07,06:55:11,arrived
PJ6667686,Alexander,Scott,AF734,2025-08-13,APL1009,Model-4,AF,FRA,Frankfurt,Germany,HND,Tokyo,Japan,8,12D,FWL1999,Captain,2025-08-13,04:49:16,on time
TZ4025555,Derek,Valdez,BA100,2025-07-06,APL1005,Model-0,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,6,21A,FWL1975,Captain,2025-07-06,05:03:57,delayed
MO2842572,Benjamin,Cruz,UA225,2025-06-21,APL1000,Model-0,UA,SIN,Singapore,Singapore,JFK,New York,USA,7,12D,FWL7471,First Officer,2025-06-21,04:23:06,canceled
PF9573532,David,Ayala,UA946,2025-07-24,APL1009,Model-4,UA,JFK,New York,USA,FRA,Frankfurt,Germany,6,16E,FWL7492,Flight Attendant,2025-07-24,03:34:54,arrived
AY2616192,Timothy,Mullen,AA882,2025-08-01,APL1003,Model-3,AA,MAD,Madrid,Spain,DXB,Dubai,UAE,10,23B,FWL6210,Flight Attendant,2025-08-01,08:31:03,arrived
AI8689082,Monica,Thompson,AF898,2025-07-09,APL1001,Model-1,AF,HND,Tokyo,Japan,AMS,Amsterdam,Netherlands,8,23A,FWL8750,Captain,2025-07-09,12:09:18,on time
EF9421081,Jennifer,Rose,BA329,2025-08-03,APL1005,Model-0,BA,FRA,Frankfurt,Germany,DXB,Dubai,UAE,10,13A,FWL7108,Captain,2025-08-03,18:11:29,delayed
KN9654137,Samantha,Faulkner,DL519,2025-07-18,APL1008,Model-3,DL,AMS,Amsterdam,Netherlands,HND,Tokyo,Japan,2,14B,FWL1813,First Officer,2025-07-18,17:08:45,delayed
TN7475159,Veronica,Nelson,AF919,2025-08-13,APL1009,Model-4,AF,MAD,Madrid,Spain,CDG,Paris,France,4,7C,FWL4157,Captain,2025-08-13,22:02:00,on time
XH6211764,Justin,Hampton,BA270,2025-07-05,APL1006,Model-1,BA,SIN,Singapore,Singapore,DXB,Dubai,UAE,7,1F,FWL2661,First Officer,2025-07-05,09:56:15,canceled
BF2021263,Latoya,Benson,AA343,2025-07-27,APL1005,Model-0,AA,LAX,Los Angeles,USA,CDG,Paris,France,6,5F,FWL8317,Captain,2025-07-27,05:41:01,departed
YN8225941,Teresa,Morgan,AA126,2025-06-24,APL1003,Model-3,AA,CDG,Paris,France,HND,Tokyo,Japan,5,1B,FWL7512,First Officer,2025-06-24,02:39:58,on time
KP0321230,Tiffany,Smith,AA126,2025-06-24,APL1003,Model-3,AA,CDG,Paris,France,HND,Tokyo,Japan,5,20F,FWL7512,First Officer,2025-06-24,02:39:58,on time
SN1244513,Glenda,Walsh,UA430,2025-07-29,APL1002,Model-2,UA,CDG,Paris,France,DXB,Dubai,UAE,3,13C,FWL6846,Captain,2025-07-29,14:50:41,on time
AO0529086,Megan,Jarvis,AA491,2025-06-29,APL1006,Model-1,AA,CDG,Paris,France,LAX,Los Angeles,USA,8,7D,FWL3435,Captain,2025-06-29,02:06:45,arrived
AC2857512,Stephanie,Simmons,AF919,2025-08-13,APL1009,Model-4,AF,MAD,Madrid,Spain,CDG,Paris,France,4,17E,FWL4157,Captain,2025-08-13,22:02:00,on time
YZ9805192,Ryan,Moss,AF662,2025-08-01,APL1007,Model-2,AF,CDG,Paris,France,JFK,New York,USA,5,4A,FWL8869,Captain,2025-08-01,16:03:49,departed
LS3381866,Tracy,Figueroa,BA648,2025-06-30,APL1007,Model-2,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,1,12E,FWL9226,Flight Attendant,2025-06-30,20:58:05,delayed
RV7656433,Justin,Austin,BA900,2025-08-15,APL1005,Model-0,BA,SIN,Singapore,Singapore,AMS,Amsterdam,Netherlands,9,22A,FWL6269,First Officer,2025-08-15,15:56:19,delayed
IC0332114,Morgan,Camacho,UA705,2025-08-13,APL1007,Model-2,UA,FRA,Frankfurt,Germany,AMS,Amsterdam,Netherlands,1,11C,FWL4817,Flight Attendant,2025-08-13,01:25:57,arrived
UR9167007,Tammy,Garcia,AF734,2025-08-13,APL1009,Model-4,AF,FRA,Frankfurt,Germany,HND,Tokyo,Japan,8,9F,FWL1999,Captain,2025-08-13,04:49:16,on time
AB5293098,Jennifer,Gardner,AA793,2025-07-20,APL1004,Model-4,AA,HND,Tokyo,Japan,CDG,Paris,France,9,5E,FWL5093,Captain,2025-07-20,08:31:34,on time
RF1837588,Ryan,Hess,UA188,2025-07-07,APL1008,Model-3,UA,SIN,Singapore,Singapore,JFK,New York,USA,5,26F,FWL4974,First Officer,2025-07-07,06:55:11,arrived
MY5870685,Jack,Lutz,AF919,2025-08-13,APL1009,Model-4,AF,MAD,Madrid,Spain,CDG,Paris,France,4,5F,FWL4157,Captain,2025-08-13,22:02:00,on time
UN0309883,Betty,Nelson,UA927,2025-07-11,APL1008,Model-3,UA,DXB,Dubai,UAE,MAD,Madrid,Spain,1,32C,FWL7342,Flight Attendant,2025-07-11,07:58:55,canceled
AI8689082,Monica,Thompson,DL700,2025-06-22,APL1002,Model-2,DL,LHR,London,UK,AMS,Amsterdam,Netherlands,7,13D,FWL2655,First Officer,2025-06-22,12:40:49,departed
RF1954781,Ronnie,Rice,AF662,2025-08-01,APL1007,Model-2,AF,CDG,Paris,France,JFK,New York,USA,5,23E,FWL8869,Captain,2025-08-01,16:03:49,departed
DL2208961,Amber,Ford,UA885,2025-06-18,APL1009,Model-4,UA,FRA,Frankfurt,Germany,CDG,Paris,France,5,24F,FWL9743,Flight Attendant,2025-06-18,16:05:14,arrived
WI1908112,Jose,Cohen,AF919,2025-08-13,APL1009,Model-4,AF,MAD,Madrid,Spain,CDG,Paris,France,4,18F,FWL4157,Captain,2025-08-13,22:02:00,on time
QU1286174,Sandra,Mccarty,BA223,2025-08-12,APL1008,Model-3,BA,LAX,Los Angeles,USA,FRA,Frankfurt,Germany,2,12C,FWL2481,Captain,2025-08-12,15:07:56,delayed
AI8689082,Monica,Thompson,AF701,2025-07-16,APL1008,Model-3,AF,DXB,Dubai,UAE,LHR,London,UK,10,12F,FWL2641,Captain,2025-07-16,20:25:19,arrived
OX8796751,Dennis,Hall,UA927,2025-07-11,APL1008,Model-3,UA,DXB,Dubai,UAE,MAD,Madrid,Spain,1,6B,FWL7342,Flight Attendant,2025-07-11,07:58:55,canceled
ZD3534220,David,Knight,AA696,2025-07-03,APL1009,Model-4,AA,HND,Tokyo,Japan,LHR,London,UK,8,24C,FWL3110,Captain,2025-07-03,15:32:49,departed
KT7964938,Natalie,Mcdonald,UA885,2025-06-18,APL1009,Model-4,UA,FRA,Frankfurt,Germany,CDG,Paris,France,5,12C,FWL9743,Flight Attendant,2025-06-18,16:05:14,arrived
MO3215725,Brenda,Crane,UA492,2025-06-19,APL1002,Model-2,UA,DXB,Dubai,UAE,FRA,Frankfurt,Germany,4,15A,FWL9907,Captain,2025-06-19,18:44:34,canceled
XM0098509,Robert,Sosa,UA188,2025-07-07,APL1008,Model-3,UA,SIN,Singapore,Singapore,JFK,New York,USA,5,5D,FWL4974,First Officer,2025-07-07,06:55:11,arrived
MG5592962,Mark,Thomas,BA270,2025-07-05,APL1006,Model-1,BA,SIN,Singapore,Singapore,DXB,Dubai,UAE,7,4F,FWL2661,First Officer,2025-07-05,09:56:15,canceled
QS6125292,Mark,Ramirez,AF766,2025-07-14,APL1003,Model-3,AF,CDG,Paris,France,SIN,Singapore,Singapore,6,20D,FWL5278,Captain,2025-07-14,05:31:11,departed
RH3704990,Charlotte,Peters,DL176,2025-07-16,APL1003,Model-3,DL,CDG,Paris,France,MAD,Madrid,Spain,8,9B,FWL8635,First Officer,2025-07-16,17:34:54,arrived
LX0111373,Richard,Conley,DL700,2025-06-22,APL1002,Model-2,DL,LHR,London,UK,AMS,Amsterdam,Netherlands,7,19D,FWL2655,First Officer,2025-06-22,12:40:49,departed
